Termo;Setor/Área;Explicação Simples;Setor Econômico
@ Produzida por Hectare;Pecuária;Indicador de produtividade da terra (Produção total / Área total).;Primário
3PL (Third-Party Logistics);Logística;Operador logístico terceirizado que gerencia parte ou toda a cadeia.;Terciário
4PL (Fourth-Party Logistics);Logística;Consultoria que gerencia múltiplos operadores 3PL para o cliente.;Terciário
9-Box Grid;Recursos Humanos;Matriz de BI para cruzar Potencial vs. Desempenho.;Terciário
Abertura Econômica;Macroeconomia;Grau de integração do país com o comércio internacional (Exp+Imp/PIB).;Terciário (Serviços/Administração)
Abordagens Policiais (Eficácia);Segurança Pública;Relação entre o número de revistas e o encontro de ilícitos.;Terciário
Absenteísmo;Recursos Humanos;Taxa de ausências, faltas e atrasos (impacto na produtividade).;Terciário
Absenteísmo;Segurança Pública;Taxa de afastamento de policiais por motivos de saúde ou licenças.;Terciário
Absenteísmo de Pacientes (No-show);Saúde;Taxa de pacientes que faltam a consultas ou exames agendados.;Terciário
Absorption Rate;Automobilístico;Quanto do custo fixo da concessionária é coberto pelo lucro do pós-venda.;Secundário
Absorption Rate (Taxa de Absorção);Imobiliário;Tempo estimado para o mercado consumir o estoque disponível.;Terciário
Acabamento de Carcaça;Pecuária;Grau de cobertura de gordura (1 a 5) exigido pelos frigoríficos.;Primário
Account Executive (AE);Comercial;Responsável por fechar negócios com leads qualificados.;Terciário
Accountability;Governo;Obrigação de prestação de contas e responsabilidade por decisões.;Terciário
Account-Based Marketing (ABM);Comercial;Estratégia focada em contas específicas de alto valor.;Terciário
Ações Integradas;Segurança Pública;Operações que envolvem mais de uma força de segurança.;Terciário
Ações Ordinárias (ON);Bolsa de Valores;Ações que dão direito a voto nas assembleias da companhia.;Terciário
Ações Preferenciais (PN);Bolsa de Valores;Ações que dão preferência no recebimento de dividendos.;Terciário
Acordo de Nível de Serviço (SLA);Supply Chain;Contrato que define métricas de qualidade e prazos entre partes.;Terciário
Acordos de Cooperação Técnica;Segurança Pública;Número de parcerias entre estado, município e governo federal.;Terciário
Acquihire;Startups;Aquisição de uma startup visando principalmente o talento da equipe.;Terciário (Majoritariamente)
Acquiring Volume;Bancário/Fintech;Volume processado pela área de credenciamento de lojistas.;Terciário
Acreditação Hospitalar;Saúde;Certificação de qualidade (ONA, JCI) que serve como dimensão de análise de performance.;Terciário
Activation Rate;Startups;"Percentual de novos usuários que realizam a ""ação de valor"" inicial no produto.";Terciário (Majoritariamente)
Activation Rate;Bancário/Fintech;Percentual de novos clientes que realizam a primeira transação (ativação de fato).;Terciário
Active Users (MAU/DAU);Bancário/Fintech;Usuários ativos mensais ou diários que realizam login ou transação no App.;Terciário
Acurácia de DEP;Pecuária;Grau de confiança estatística de que o valor genético está correto.;Primário
Acurácia de Forecast;Vendas;Percentual de variação entre a venda prevista e a venda realizada.;Terciário
Acurácia de Previsão de Safra;Agricultura;Comparativo entre o orçado (previsão) e o realizado (colheita).;Primário
Acuracidade de Inventário;Indústria de Papel;Divergência entre o estoque físico e o registrado no ERP/BI.;Secundário
Acuracidade de Inventário;Logística;Divergência entre o estoque físico e o registrado no sistema (ERP/WMS).;Terciário
Acuracidade de Inventário;Supply Chain;Diferença entre o estoque físico real e o registrado no sistema (ERP/WMS).;Terciário
Acuracidade de Orçamento (Budget);Petróleo;Variação entre o gasto planejado e o realizado em projetos de perfuração.;Primário (Extração) / Secundário (Refino)
Acuracidade de Picking;Indústria de Papel;Precisão na separação de pedidos fracionados de papel/embalagem.;Secundário
Acuracidade de Previsão;BI Geral;Diferença percentual entre o valor previsto (forecast) e o realizado.;Terciário
Aderência de Meta;Comercial e Vendas;Percentual de alcance da meta estipulada para um período (Target vs. Actual).;Terciário
Adesão ao Pregão Eletrônico;Governo;Métrica de modernização das compras públicas.;Terciário
Adubação de Base vs. Cobertura;Agricultura;Comparativo de custos e eficiência nutricional entre etapas de fertilização.;Primário
Affiliate Marketing;Marketing;Venda de produtos de terceiros em troca de comissão.;Terciário
Ageing de Glosas;Saúde;Tempo de atraso no recebimento de faturas contestadas pelas operadoras.;Terciário
Aging de Estoque;Indústria de Papel;Tempo de permanência de bobinas ou fardos parados no estoque.;Secundário
Aging de Recebíveis;Financeiro;Relatório que agrupa contas a receber por tempo de atraso ou vencimento.;Terciário
Aging de Recebíveis;Imobiliário;Relatório de idade das parcelas a vencer e vencidas.;Terciário
Aging de Sinistros;Seguros;Tempo de permanência de um processo de sinistro em aberto na base.;Terciário
Ágio do Bezerro;Pecuária;Diferença percentual entre o preço da @ do bezerro e a @ do boi gordo.;Primário
Agregados Monetários (M1, M2, M3, M4);Macroeconomia;Classificação do dinheiro disponível na economia conforme a liquidez.;Terciário (Serviços/Administração)
Aha! Moment;Startups;Ponto no funil onde o usuário percebe o valor real do produto pela primeira vez.;Terciário (Majoritariamente)
AIDA (Atenção, Interesse, Desejo, Ação);Marketing;Modelo clássico que descreve as etapas mentais do comprador.;Terciário
AIH (Autorização de Internação Hospitalar);Saúde;Documento para identificar o paciente e os serviços prestados no âmbito do SUS.;Terciário
Ajuste a Valor Presente (AVP);Imobiliário;Cálculo contábil para trazer fluxos futuros de parcelas ao valor de hoje.;Terciário
Ajuste Diário;Bolsa de Valores;Fluxo de caixa diário que liquida perdas ou ganhos no mercado futuro.;Terciário
Alavancagem;Bolsa de Valores;Uso de recursos de terceiros para aumentar o potencial de retorno (e risco).;Terciário
Alavancagem Financeira;Financeiro;Uso de capital de terceiros para aumentar a rentabilidade dos ativos.;Terciário
ALM (Asset and Liability Management);Mercado Financeiro;Gestão de ativos e passivos para mitigar riscos de descasamento de taxas e prazos.;Terciário
ALOS (Average Length of Stay);Saúde;"Média de permanência do paciente no hospital; indicador crítico de eficiência.";Terciário
Alpha;Mercado Financeiro;Medida de desempenho que indica o retorno acima do benchmark de mercado.;Terciário
Alpha;Bolsa de Valores;Medida de desempenho de um investimento em relação a um índice de referência.;Terciário
Alta Hospitalar;Saúde;"Encerramento da assistência ao paciente; dado fundamental para o cálculo de giro de leito.";Terciário
AML (Anti-Money Laundering);Mercado Financeiro;Conjunto de procedimentos para detectar e impedir a lavagem de dinheiro.;Terciário
AML (Anti-Money Laundering);Bancário/Fintech;Políticas e métricas de combate à lavagem de dinheiro.;Terciário
Amortização;Financeiro;Redução gradual de uma dívida ou o reconhecimento de custo de ativos intangíveis.;Terciário
Análise de Cenários (What-if);Supply Chain;Simulações de dados para prever impactos de mudanças na rede logística.;Terciário
Análise de Cohort;Varejo;Agrupamento de clientes que compartilham uma característica (ex: data da 1ª compra) para análise temporal.;Terciário
Análise de Cohort;Vendas/SaaS;Agrupamento de usuários que compartilham uma característica comum em um período.;Terciário
Análise de Cohort;Comercial e Vendas;Agrupamento de clientes que realizaram a primeira compra no mesmo período para analisar comportamento ao longo do tempo.;Terciário
Análise de Coorte (Cohort);Mercado Financeiro;Análise do comportamento de grupos de clientes que entraram no mesmo mês.;Terciário
Análise de Coorte (Cohort);Seguros;Acompanhamento de sinistralidade de grupos de apólices vendidas no mesmo mês.;Terciário
Análise de Fluxo de Pessoas (Smart Cities);Segurança Pública;Uso de sensores de cidade inteligente para gestão de segurança.;Terciário
Análise de Imagem (Deep Learning);Segurança Pública;Uso de IA para identificar comportamentos anômalos em vídeos.;Terciário
Análise de Impacto Regulatório (AIR);Governo;Estudo prévio de dados para avaliar efeitos de novas normas.;Terciário
Análise de Sensibilidade;Financeiro;Estudo de como variáveis (ex: dólar) impactam o resultado final.;Terciário
Análise de Sentimento;Marketing;Uso de PLN para identificar se as menções à marca são positivas ou negativas.;Terciário
Análise de Série Temporal;Segurança Pública;Identificação de sazonalidade nos crimes (ex: aumento de furtos no Natal).;Terciário
Análise de Solo;Pecuária;Dados químicos da terra que influenciam a produtividade forrageira.;Primário
Análise Horizontal;Financeiro;Comparação da evolução de contas financeiras ao longo do tempo.;Terciário
Análise Input-Output;Macroeconomia;Estudo de como os setores da economia fornecem insumos uns aos outros.;Terciário (Serviços/Administração)
Análise Preditiva;Segurança Pública;Uso de algoritmos para prever onde e quando crimes têm maior probabilidade de ocorrer.;Terciário
Análise Vertical;Financeiro;Comparação de cada conta do demonstrativo em relação ao total (ex: % da receita).;Terciário
Anchor Store (Loja Âncora);Imobiliário;Lojista principal que atrai fluxo de pessoas para o empreendimento.;Terciário
Anchoring (Ancoragem de Preço);Varejo;Estratégia psicológica onde um preço alto é usado para fazer outro parecer barato.;Terciário
Andon System Data;Automobilístico;Dados extraídos do sistema de alertas visuais de paradas na linha de montagem.;Secundário
ANS (Agência Nacional de Saúde Suplementar);Saúde;"Órgão regulador; os dados de BI devem estar em conformidade com suas normas (ex: TISS).";Terciário
Apetite de Risco;Seguros;Definição estratégica de quais riscos a companhia aceita ou evita.;Terciário
API Calls;Tecnologia;"Volume de requisições feitas a um serviço; métrica de carga e faturamento.";Terciário
API Calls;Bancário/Fintech;"Métrica de integração; quantidade de requisições feitas aos serviços digitais.";Terciário
API Gravity Mix;Petróleo;Otimização da mistura de petróleos diferentes para processamento.;Primário (Extração) / Secundário (Refino)
API Management;Mercado Financeiro;Gestão do tráfego de dados entre bancos e fintechs.;Terciário
API Response Time;Tecnologia;Tempo que uma interface de programação leva para responder a uma requisição.;Terciário
API Usage Rate;Startups;"Volume de requisições de API; mede integração e dependência de parceiros.";Terciário (Majoritariamente)
App Stickiness;Bancário/Fintech;Frequência com que o usuário retorna ao app (DAU/MAU).;Terciário
Applicant Tracking System (ATS);Recursos Humanos;Software que gera a base de dados para análises de recrutamento.;Terciário
Approval Rate;Bancário/Fintech;Taxa de aprovação de pedidos de crédito ou abertura de conta.;Terciário
Apreensão de Armas de Fogo;Segurança Pública;Quantidade e calibre das armas retiradas de circulação.;Terciário
Apreensão de Ativos (Lavagem);Segurança Pública;Valor monetário de bens sequestrados do crime organizado.;Terciário
Aproveitamento de Aparas (Reciclagem);Indústria de Papel;Percentual de papel reciclado reintroduzido no processo produtivo.;Secundário
Aproveitamento de Pastagem;Pecuária;Percentual da gramínea que foi realmente colhida pelo gado.;Primário
Arbitragem;Bolsa de Valores;Aproveitar a diferença de preços do mesmo ativo em mercados diferentes.;Terciário
Arbitragem de Carga;Petróleo;Análise de dados para vender carga no mercado com melhor preço geográfico.;Primário (Extração) / Secundário (Refino)
Área de Olho de Lombo (AOL);Pecuária;Indicador ultrassonográfico de musculosidade e rendimento.;Primário
Área Útil vs. Área Total;Agricultura;Diferença entre a posse da terra e o que efetivamente gera receita (descontando reserva/APP).;Primário
